date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:09	70/70	---MCZ	200	added ('OK')	text/plain	etag:%2223579-1629990608;gz%22	https://recoverykings.net/robots.txt		(from )
14:59:09	55892/55892	---MCZ	200	added ('OK')	text/html	etag:%2227833-1630587866;gz%22	https://recoverykings.net/	E:/Websites/RecoveryKings/recoverykings.net/index.html	(from )
14:59:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Sep%202021%2013:59:05%20GMT	http://stats.wp.com/	E:/Websites/RecoveryKings/stats.wp.com/index.html	(from https://recoverykings.net/)
14:59:10	564/564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Sep%202021%2013:59:05%20GMT	http://cdn.rawgit.com/	E:/Websites/RecoveryKings/cdn.rawgit.com/index.html	(from https://recoverykings.net/)
14:59:10	80574/80574	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2000:56:57%20GMT	https://c0.wp.com/c/5.8/wp-includes/css/dist/block-library/style.min.css	E:/Websites/RecoveryKings/c0.wp.com/c/5.8/wp-includes/css/dist/block-library/style.min.css	(from https://recoverykings.net/)
14:59:10	1597/1597	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Sep%202021%2013:59:05%20GMT	http://fonts.googleapis.com/	E:/Websites/RecoveryKings/fonts.googleapis.com/index.html	(from https://recoverykings.net/)
14:59:10	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/5.8/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	E:/Websites/RecoveryKings/c0.wp.com/c/5.8/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://recoverykings.net/)
14:59:10	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/5.8/wp-includes/js/mediaelement/wp-mediaelement.min.css	E:/Websites/RecoveryKings/c0.wp.com/c/5.8/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://recoverykings.net/)
14:59:10	3276/3276	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Jul%202021%2000:11:33%20GMT	https://c0.wp.com/p/woocommerce/5.6.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	E:/Websites/RecoveryKings/c0.wp.com/p/woocommerce/5.6.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://recoverykings.net/)
14:59:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Sep%202021%2013:59:06%20GMT	http://s.w.org/	E:/Websites/RecoveryKings/s.w.org/index.html	(from https://recoverykings.net/)
14:59:11	182136/182136	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Jul%202021%2000:11:33%20GMT	https://c0.wp.com/p/woocommerce/5.6.0/packages/woocommerce-blocks/build/wc-blocks-style.css	E:/Websites/RecoveryKings/c0.wp.com/p/woocommerce/5.6.0/packages/woocommerce-blocks/build/wc-blocks-style.css	(from https://recoverykings.net/)
14:59:11	2356/2356	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Aug%202021%2014:16:00%20GMT	https://recoverykings.net/wp-content/plugins/woo-conditional-product-fees-for-checkout/public/css/woocommerce-conditional-product-fees-for-checkout-public.css?ver=3.6.5	E:/Websites/RecoveryKings/recoverykings.net/wp-content/plugins/woo-conditional-product-fees-for-checkout/public/css/woocommerce-conditional-product-fees-for-checkout-public3ab2.css	(from https://recoverykings.net/)
14:59:11	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Sep%202021%2013:59:07%20GMT	http://i0.wp.com/	E:/Websites/RecoveryKings/i0.wp.com/index.html	(from https://recoverykings.net/)
14:59:12	15144/15144	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Aug%202021%2022:32:58%20GMT	https://recoverykings.net/wp-content/plugins/woocustomizer/assets/css/frontend.css?ver=2.3.2	E:/Websites/RecoveryKings/recoverykings.net/wp-content/plugins/woocustomizer/assets/css/frontend95b8.css	(from https://recoverykings.net/)
